kernel;element_count;block_count;thread_count;time_ms;throughput
add;1048576;8;16;2.50573;6.69555
add;1048576;16;16;1.28205;13.0863
add;1048576;32;16;0.671744;24.9756
add;1048576;64;16;0.365568;45.8936
add;1048576;128;16;0.211968;79.1498
add;1048576;256;16;0.140288;119.591
add;1048576;512;16;0.125952;133.203
add;1048576;8;32;1.29536;12.9518
add;1048576;16;32;0.662048;25.3414
add;1048576;32;32;0.362496;46.2825
add;1048576;64;32;0.208896;80.3137
add;1048576;128;32;0.137216;122.269
add;1048576;256;32;0.125952;133.203
add;1048576;512;32;0.124928;134.295
add;1048576;8;64;0.664576;25.245
add;1048576;16;64;0.362496;46.2825
add;1048576;32;64;0.208896;80.3137
add;1048576;64;64;0.14016;119.7
add;1048576;128;64;0.124928;134.295
add;1048576;256;64;0.123904;135.405
add;1048576;512;64;0.122688;136.747
add;1048576;8;128;0.360448;46.5455
add;1048576;16;128;0.20976;79.9829
add;1048576;32;128;0.140288;119.591
add;1048576;64;128;0.124928;134.295
add;1048576;128;128;0.123904;135.405
add;1048576;256;128;0.123904;135.405
add;1048576;512;128;0.12288;136.533
add;1048576;8;256;0.209664;80.0195
add;1048576;16;256;0.13824;121.363
add;1048576;32;256;0.124928;134.295
add;1048576;64;256;0.123904;135.405
add;1048576;128;256;0.123904;135.405
add;1048576;256;256;0.12288;136.533
add;1048576;512;256;0.123904;135.405
add;1048576;8;512;0.140288;119.591
add;1048576;16;512;0.123904;135.405
add;1048576;32;512;0.124928;134.295
add;1048576;64;512;0.12288;136.533
add;1048576;128;512;0.123904;135.405
add;1048576;256;512;0.123904;135.405
add;1048576;512;512;0.123904;135.405
add;1048576;8;1024;0.123904;135.405
add;1048576;16;1024;0.123904;135.405
add;1048576;32;1024;0.123904;135.405
add;1048576;64;1024;0.12288;136.533
add;1048576;128;1024;0.12256;136.89
add;1048576;256;1024;0.123904;135.405
add;1048576;512;1024;0.123904;135.405
